2024-01-12 13:26:46,851 INFO : update CO row:Pandas(_0=559, _1=50, Description='六堵SS_#1MTR310CB', BranchID=101, VLevel=11.0, EquipName='1MTR', EquipNum=310, StationName='CKSS', Element='CB_031', DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,851 INFO : update CO row:Pandas(_0=559, _1=51, Description='六堵SS_#1TIE100CB', BranchID=101, VLevel=11.0, EquipName='TIE1', EquipNum=100, StationName='CKSS', Element='CB_031', DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,851 INFO : update CO row:Pandas(_0=559, _1=52, Description='六堵SS_#1SC210CB', BranchID=101, VLevel=11.0, EquipName='1SC', EquipNum=210, StationName='CKSS', Element='CB_031', DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,851 INFO : update CO row:Pandas(_0=559, _1=53, Description='六堵SS_下坡線CK36CB', BranchID=101, VLevel=11.0, EquipName='Feeder', EquipNum='CK36', StationName='CKSS', Element='CB_031', DataFrom='Status', DataType='PRTU', LineName='下坡線', ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,851 INFO : update CO row:Pandas(_0=559, _1=54, Description='六堵SS_工東線CK37CB', BranchID=101, VLevel=11.0, EquipName='Feeder', EquipNum='CK37', StationName='CKSS', Element='CB_031', DataFrom='Status', DataType='PRTU', LineName='工東線', ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,851 INFO : update CO row:Pandas(_0=559, _1=55, Description='六堵SS_工南線CK38CB', BranchID=101, VLevel=11.0, EquipName='Feeder', EquipNum='CK38', StationName='CKSS', Element='CB_031', DataFrom='Status', DataType='PRTU', LineName='工南線', ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,851 INFO : update CO row:Pandas(_0=559, _1=56, Description='六堵SS_工西線CK39CB', BranchID=101, VLevel=11.0, EquipName='Feeder', EquipNum='CK39', StationName='CKSS', Element='CB_031', DataFrom='Status', DataType='PRTU', LineName='工西線', ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,851 INFO : update CO row:Pandas(_0=559, _1=57, Description='六堵SS_工北線CK40CB', BranchID=101, VLevel=11.0, EquipName='Feeder', EquipNum='CK40', StationName='CKSS', Element='CB_031', DataFrom='Status', DataType='PRTU', LineName='工北線', ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,851 INFO : update CO row:Pandas(_0=559, _1=58, Description='六堵SS_#1MTROLTCR/L', BranchID=101, VLevel=11.0, EquipName='1MTR', EquipNum=310, StationName='CKSS', Element='TapPosMv', DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,857 INFO : update CO row:Pandas(_0=559, _1=59, Description='六堵SS_#1MTROLTCA/M', BranchID=101, VLevel=11.0, EquipName='1MTR', EquipNum=310, StationName='CKSS', Element='OLTC_A_M_003', DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,858 INFO : update CO row:Pandas(_0=559, _1=60, Description='六堵SS_#1SC210Q-CTLA/M', BranchID=101, VLevel=11.0, EquipName='1SC', EquipNum=210, StationName='CKSS', Element='QCTL_A_M_002', DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,858 INFO : update CO row:Pandas(_0=559, _1=61, Description='六堵SS_下坡線CK3679RYU/L', BranchID=101, VLevel=11.0, EquipName='Feeder', EquipNum='CK36', StationName='CKSS', Element='79UL_005', DataFrom='Status', DataType='PRTU', LineName='下坡線', ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,858 INFO : update CO row:Pandas(_0=559, _1=62, Description='六堵SS_工東線CK3779RYU/L', BranchID=101, VLevel=11.0, EquipName='Feeder', EquipNum='CK37', StationName='CKSS', Element='79UL_005', DataFrom='Status', DataType='PRTU', LineName='工東線', ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,858 INFO : update CO row:Pandas(_0=559, _1=63, Description='六堵SS_工南線CK3879RYU/L', BranchID=101, VLevel=11.0, EquipName='Feeder', EquipNum='CK38', StationName='CKSS', Element='79UL_005', DataFrom='Status', DataType='PRTU', LineName='工南線', ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,858 INFO : update CO row:Pandas(_0=559, _1=64, Description='六堵SS_工西線CK3979RYU/L', BranchID=101, VLevel=11.0, EquipName='Feeder', EquipNum='CK39', StationName='CKSS', Element='79UL_005', DataFrom='Status', DataType='PRTU', LineName='工西線', ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,858 INFO : update CO row:Pandas(_0=559, _1=65, Description='六堵SS_工北線CK4079RYU/L', BranchID=101, VLevel=11.0, EquipName='Feeder', EquipNum='CK40', StationName='CKSS', Element='79UL_005', DataFrom='Status', DataType='PRTU', LineName='工北線', ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
